application_number,filing_date,invention_subject_matter,application_type,examiner_name_last,examiner_name_first,examiner_name_middle,examiner_id,examiner_art_unit,uspc_class,uspc_subclass,confirm_number,customer_number,atty_docket_number,appl_status_code,appl_status_date,file_location,file_location_date,earliest_pgpub_number,earliest_pgpub_date,wipo_pub_number,wipo_pub_date,patent_number,patent_issue_date,abandon_date,disposal_type,invention_title,small_entity_indicator,aia_first_to_file
PCT/US99/13060,1999-06-09,?,PCT,PASCAL,LESLIE,C,93358,2636,359,154000,,None,2002147-0006,256,10nov2001 00:00:00,9200,2006-03-27,,,200030415,2000-05-25,,,,PEND,COMMUNICATION SYSTEM,0,0
PCT/US99/13061,1999-06-09,?,PCT,WALKER,MISTY,F,92867,5332,000,000000,,None,00231/088WO1,218,01jul1999 21:17:00,9200,2006-03-27,,,199964059,1999-12-16,,,,PEND,METHOD OF USING SECRETIN AND COMPOSITIONS MADE THEREFROM FOR THE TREATMENT OF AUTISM AND OTHER,0,0
PCT/US99/13062,1999-06-09,?,PCT,STAFIRA,MICHAEL,PATRICK,75392,2877,356,237100,,None,0196/PCT,256,10nov2001 00:00:00,9200,2006-03-27,,,199966308,1999-12-23,,,,PEND,AUTOMATED OPTICAL MEASUREMENT APPARATUS AND METHOD,0,0
PCT/US99/13063,1999-06-09,?,PCT,None,None,None,,5332,000,000000,,None,758.863WO01,218,01jul1999 21:16:42,9200,2006-03-27,,,200002640,2000-01-20,,,,PEND,MIST COLLECTOR AND METHOD,0,0
PCT/US99/13064,1999-06-09,?,PCT,None,None,None,,5332,000,000000,,None,MCP-193-PCT,218,25jun1999 21:16:37,9200,2006-03-27,,,199966919,1999-12-29,,,,PEND,SALTS OF ACETAMINOPHEN,0,0
PCT/US99/13065,1999-06-09,?,PCT,SRIVASTAVA,VIVEK,,77871,2623,345,327000,,None,34758PCT/LTR,256,10nov2001 00:00:00,9200,2006-03-27,,,199965242,1999-12-16,,,,PEND,DATABASE FOR USE IN METHOD AND APPARATUS FOR DISPLAYING TELEVISION PROGRAMS AND RELATED TEXT,0,0
PCT/US99/13066,1999-06-09,?,PCT,CHAPMAN JR,JOHN,E,65420,2855,073,570000,,None,TSO 163 P2-P,256,10nov2001 00:00:00,9200,2006-03-27,,,199964854,1999-12-16,,,,PEND,METHOD AND APPARATUS FOR QUANTITATIVE SPUTTER TARGET CLEANLINESS CHARACTERIZATION,0,0
PCT/US99/13067,1999-06-09,?,PCT,None,None,None,,5333,000,000000,,None,892415/81963,218,30jun1999 21:16:05,9200,2006-03-27,,,199965022,1999-12-16,,,,PEND,E-BLOCK ACTUATOR ASSEMBLY,0,0
PCT/US99/13068,1999-06-09,?,PCT,EDELMAN,BRADLEY,E,98298,2153,709,221000,,None,03494.P002,275,28apr2003 00:00:00,9200,2006-03-27,,,199964958,1999-12-16,,,,PEND,BI-DIRECTIONAL PROCESS-TO-PROCESS BYTE STREAM PROTOCOL,0,0
PCT/US99/13069,1999-06-09,?,PCT,None,None,None,,5333,000,000000,,None,5181-15901,218,28jun1999 21:15:46,9200,2006-03-27,,,199966398,1999-12-23,,,,PEND,TESTING DEVICE DRIVER HARDENING,0,0
PCT/US99/13070,1999-06-09,?,PCT,SALIMI,ALI,REZA,66454,OPLA,435,235100,,None,INDY032P,256,10nov2001 00:00:00,9200,2006-03-27,,,199964569,1999-12-16,,,,PEND,METHODS AND COMPOSITIONS FOR GENERATING RECOMBINANT ADENO-ASSOCIATED VIRUS VECTORS,0,0
PCT/US99/13071,1999-06-09,?,PCT,REICHARD,DEAN,ALAN,65474,2859,033,758000,,None,151.1001 PCT,566,20aug1999 00:00:00,9200,2006-03-27,,,199964813,1999-12-16,,,,PEND,TAPE MEASURING TAPE,0,0
PCT/US99/13072,1999-06-09,?,PCT,None,None,None,,5333,000,000000,,None,CM2132/JH,218,30jun1999 21:15:18,9200,2006-03-27,,,199964499,1999-12-16,,,,PEND,"SHAPE-FORMED, THREE DIMENSIONAL, MOISTURE VAPOUR PERMEABLE, LIQUID IMPERMEABLE ARTICLES COMPRISING",0,0
PCT/US99/13073,1999-06-09,?,PCT,None,None,None,,5333,000,000000,,None,CM2131/JH,218,30jun1999 21:15:15,9200,2006-03-27,,,199964078,1999-12-16,,,,PEND,"SHAPE-FORMED, THREE DIMENSIONAL, MOISTURE VAPOUR PERMEABLE, LIQUID IMPERMEABLE ARTICLES COMPRISING",0,0
PCT/US99/13074,1999-06-09,?,PCT,FOSTER,JIMMY,G,94769,3728,206,583000,,None,10303/205,256,10nov2001 00:00:00,9200,2006-03-27,,,199964317,1999-12-16,,,,PEND,BOXES WITH INTERNAL RESILIENT ELEMENTS,0,0
PCT/US99/13075,1999-06-09,?,PCT,FULTON,CHRISTOPHER,W,63334,2859,033,349000,,None,309.2,275,03sep2002 00:00:00,9200,2006-03-27,,,199964894,1999-12-16,,,,PEND,NOVEL SYSTEM AND METHOD FOR ASSISTING IMPAIRED PERSON IN SWIMMING,0,0
PCT/US99/13076,1999-06-09,?,PCT,None,None,None,,5333,000,000000,,None,7187/VB,218,30jun1999 21:14:49,9200,2006-03-27,,,199966124,1999-12-23,,,,PEND,APPARATUS FOR MAKING STRUCTURED PAPER,0,0
PCT/US99/13077,1999-06-09,?,PCT,None,None,None,,5333,000,000000,,None,7182/VB,218,28jun1999 21:14:44,9200,2006-03-27,,,199965356,1999-12-23,,,,PEND,DISPENSING PACKAGE,0,0
PCT/US99/13078,1999-06-09,?,PCT,None,None,None,,5333,000,000000,,None,7201/VB,218,28jun1999 21:14:40,9200,2006-03-27,,,199967461,1999-12-29,,,,PEND,PAPERMAKING BELT HAVING REINFORCING PILES,0,0
PCT/US99/13079,1999-06-09,?,PCT,None,None,None,,5333,000,000000,,None,7175/VB,218,30jun1999 21:14:36,9200,2006-03-27,,,199967353,1999-12-29,,,,PEND,LAUNDRY COMPOSITIONS COMPRISING ALKOXYLATED POLYALKYLENEIMINE DISPERSANTS,0,0
PCT/US99/13080,1999-06-09,?,PCT,None,None,None,,5333,000,000000,,None,PCT-1387A1,218,28jun1999 21:14:30,9200,2006-03-27,,,199966588,1999-12-23,,,,PEND,ON-GLASS ANTENNA,0,0
PCT/US99/13081,1999-06-09,?,PCT,VO,CLIFF,N,68164,2628,345,473000,,None,03442.P001,256,10nov2001 00:00:00,9200,2006-03-27,,,199965224,1999-12-16,,,,PEND,CREATING ANIMATION FROM A VIDEO,0,0
PCT/US99/13082,1999-06-09,?,PCT,None,None,None,,5333,000,000000,,None,2214.PDC.ORB,218,30jun1999 21:14:11,9200,2012-03-02,,,199967626,1999-12-29,,,,PEND,WAFER DEFECT CLASSIFICATION,0,0
PCT/US99/13083,1999-06-09,?,PCT,COHEN,LEE,S,59443,3739,606,020000,,None,235/144-WO,256,11nov2001 00:00:00,9200,2006-03-27,,,199965410,1999-12-23,,,,PEND,"SHEATH, CRYOPROBE, AND METHODS FOR USE",0,0
PCT/US99/13084,1999-06-09,?,PCT,KARLSEN,ERNEST,F,63332,2858,324,765000,,None,M-5439 US,256,10nov2001 00:00:00,9200,2006-03-27,,,199964880,1999-12-16,,,,PEND,AN APPARATUS AND METHOD FOR EVALUATING A WAFER OF SEMICONDUCTOR MATERIAL,0,0
PCT/US99/13085,1999-06-09,?,PCT,None,None,None,,5333,000,000000,,None,5181-15801,218,28jun1999 21:13:38,9200,2006-03-27,,,199966409,1999-12-23,,,,PEND,COMPATIBILITY KEYING,0,0
PCT/US99/13086,1999-06-09,?,PCT,None,None,None,,5333,000,000000,,None,5181-16801,218,28jun1999 21:13:31,9200,2006-03-27,,,199966407,1999-12-23,,,,PEND,MULTI-PROCESSOR SYSTEM BRIDGE,0,0
PCT/US99/13087,1999-06-10,?,PCT,None,None,None,,5333,000,000000,,None,J-2640,218,30jun1999 21:13:26,9200,2006-03-27,,,200001705,2000-01-13,,,,PEND,SILICONE COMPOUNDS AND PROCESS FOR MAKING THEM,0,0
PCT/US99/13089,1999-06-10,?,PCT,FIGUEROA,JOHN,J,60005,1772,428,034100,,None,3668-00009,566,05oct1999 00:00:00,9200,2006-03-27,,,200076767,2000-12-21,,,,PEND,TUBULAR MASKING DEVICE,0,0
PCT/US99/13090,1999-06-10,?,PCT,None,None,None,,5333,000,000000,,None,J-2569,218,28jun1999 21:13:13,9200,2006-03-27,,,199966791,1999-12-29,,,,PEND,VOLATILE CARRIER FOR USE WITH A HEATING DEVICE,0,0
PCT/US99/13091,1999-06-10,?,PCT,ECHOLS,PERCY,W,72935,3726,029,409000,,None,184466,275,22jan2003 00:00:00,9200,2006-03-27,,,200076687,2000-12-21,,,,PEND,CLOSURE DEVICE AND METHOD OF ASSEMBLY,0,0
PCT/US99/13092,1999-06-10,?,PCT,SAKRAN,VICTOR,N,70579,3626,024,03050R,,None,179893,256,11nov2001 00:00:00,9200,2006-03-27,,,200076338,2000-12-21,,,,PEND,CLOSURE DEVICE,0,0
PCT/US99/13093,1999-06-10,?,PCT,YAO,SAMCHUAN,CUA,61880,1733,156,296000,,None,100854-005,256,10nov2001 00:00:00,9200,2006-03-27,,,200009305,2000-02-24,,,,PEND,IMPROVING THE WAX SIZING AND RESIN BONDING OF A LIGNOCELLULOSIC COMPOSITE,0,0
PCT/US99/13094,1999-06-09,?,PCT,None,None,None,,5333,000,000000,,None,SEQ-16PCT,218,30jun1999 21:12:32,9200,2006-03-27,,,199964630,1999-12-16,,,,PEND,GENOTYPING THE HUMAN PHENOL SULFOTRANSFERASE 2 GENE (STP2),0,0
PCT/US99/13095,1999-06-10,?,PCT,None,None,None,,5333,000,000000,,None,PCT/256,218,28jun1999 21:12:26,9200,2006-03-27,,,199966665,1999-12-23,,,,PEND,WDM RING TRANSMISSION SYSTEM HAVING TWO HUBS,0,0
PCT/US99/13096,1999-06-10,?,PCT,MAI,LANNA,,93486,3637,312,009480,,None,GRANDV 1-CIP,566,17nov1999 00:00:00,9200,2006-03-27,,,200059340,2000-10-12,,,,PEND,VERTICAL MEDIA STORAGE SYSTEM,0,0
PCT/US99/13097,1999-06-10,?,PCT,ORESKY,LAWRENCE,J,66213,3652,212,315000,,None,GOR6949,566,22oct1999 00:00:00,9200,2006-03-27,,,199964341,1999-12-16,,,,PEND,AUTOMATED TRACTOR-DRIVEN CRANE,0,0
PCT/US99/13098,1999-06-10,?,PCT,None,None,None,,5333,000,000000,,None,51381PCT3B,218,30jun1999 21:12:03,9200,2006-03-27,,,200043579,2000-07-27,,,,PEND,DISPERSIBLE COMPOSITIONS AND ARTICLES OF SHEATH- CORE MICROFIBERS AND METHOD OF DISPOSAL FOR SUCH,0,0
PCT/US99/13099,1999-06-10,?,PCT,None,None,None,,5333,000,000000,,None,4821-336-228,218,28jun1999 21:11:57,9200,2006-03-27,,,199965571,1999-12-23,,,,PEND,"METHODS FOR TREATING APNEA, APNEA DISORDERS, BULIMIA, AND OTHER DISORDERS USING OPTICALLY PURE",0,0
PCT/US99/13100,1999-06-10,?,PCT,None,None,None,,5331,000,000000,,None,4821-337-228,218,28jun1999 21:11:52,9200,2006-03-27,,,199965490,1999-12-23,,,,PEND,"METHODS FOR TREATING APNEA, APNEA DISORDERS, BULIMIA, AND OTHER DISORDERS USING OPTICALLY PURE",0,0
PCT/US99/13101,1999-06-10,?,PCT,None,None,None,,5331,000,000000,,None,DN1999104PCT,218,21jun1999 21:11:48,9200,2006-03-27,,,200076790,2000-12-21,,,,PEND,VARIABLE PITCHED TREAD FOR ATV TIRE,0,0
PCT/US99/13102,1999-06-10,?,PCT,None,None,None,,5331,000,000000,,None,P-4015.346,218,28jun1999 21:11:44,9200,2006-03-27,,,199967897,1999-12-29,,,,PEND,HIGH-PENETRATION RADIOCOMMUNICATION SYSTEM USING A COMPACT CHARACTER SET,0,0
PCT/US99/13103,1999-06-10,?,PCT,BADIO,BARBARA,P,94710,1616,514,169000,,None,5051.424.WO,256,10nov2001 00:00:00,9200,2006-03-27,,,199964012,1999-12-16,,,,PEND,ALTERING SEX RATIO OF OFFSPRING IN MAMMALS,0,0
PCT/US99/13104,1999-06-10,?,PCT,None,None,None,,5331,000,000000,,None,EWAL-12 PCT,218,28jun1999 21:11:23,9200,2006-03-27,,,200003167,2000-01-20,,,,PEND,CHECK VALVE,0,0
PCT/US99/13105,1999-06-10,?,PCT,SULLIVAN,DANIEL,M,75354,1600,562,007000,,None,S&B 094511,566,15oct1999 00:00:00,9200,2006-03-27,,,199964428,1999-12-16,,,,PEND,SYNTHESIS OF ARYL BORONIC ACIDS,0,0
PCT/US99/13106,1999-06-10,?,PCT,REICHLE,KARIN,M,64273,3761,604,385010,,None,53394.000445,256,10nov2001 00:00:00,9200,2006-03-27,,,199963921,1999-12-16,,,,PEND,DIAPER FOR ISOLATING BOWEL MOVEMENT OR STOOLS FROM SKIN,0,0
PCT/US99/13107,1999-06-10,?,PCT,None,None,None,,5331,000,000000,,None,079498/0119,218,28jun1999 21:10:55,9200,2006-03-27,,,199964431,1999-12-16,,,,PEND,PURINES AND PYRIMIDINES LINKED TO A QUENCHER,0,0
PCT/US99/13108,1999-06-10,?,PCT,None,None,None,,5331,000,000000,,None,039334/0103,218,28jun1999 21:10:50,9200,2006-03-27,,,199964999,1999-12-16,,,,PEND,SECURE CHECK PROCESSING SYSTEM AND METHOD,0,0
PCT/US99/13109,1999-06-10,?,PCT,PHAN,HANH,,62454,2636,359,114000,,None,LSAI.0001PCT,256,10nov2001 00:00:00,9200,2006-03-27,,,200028671,2000-05-18,,,,PEND,LASER COMMUNICATION SYSTEM AND METHODS,0,0
PCT/US99/13110,1999-06-10,?,PCT,None,None,None,,5331,000,000000,,None,M 4311,218,28jun1999 21:10:28,9200,2006-03-27,,,200001027,2000-01-06,,,,PEND,SOLVENT FOR ELECTROLYTIC SOLUTIONS,0,0
PCT/US99/13111,1999-06-10,?,PCT,SAKRAN,VICTOR,N,70579,3626,024,03050R,,None,178151,256,10nov2001 00:00:00,9200,2006-03-27,,,200076339,2000-12-21,,,,PEND,CLOSURE DEVICE,0,0
PCT/US99/13112,1999-06-10,?,PCT,LEVY,NEIL,S,95968,1616,424,405000,,None,294060,256,10nov2001 00:00:00,9200,2006-03-27,,,199964019,1999-12-16,,,,PEND,PLATINUM COMPLEXES WITH ANTI-VIRAL ACTIVITY AND METHOD OF USING SAME,0,0
PCT/US99/13113,1999-06-10,?,PCT,None,None,None,,5331,000,000000,,None,4995.049-304,218,28jun1999 21:09:53,9200,2006-03-27,,,199964603,1999-12-16,,,,PEND,ENHANCEMENT OF B CELL ACTIVATION AND IMMUNOGLOBULIN SECRETION BY CO-STIMULATION OF,0,0
PCT/US99/13114,1999-06-10,?,PCT,None,None,None,,5331,000,000000,,None,K-1459PC,218,06jul1999 21:09:48,9200,2006-03-27,,,200025968,2000-05-11,,,,PEND,CUTTING TOOL FOR MACHINING BORES IN MATERIALS HAVING SPRING-BACK,0,0
PCT/US99/13115,1999-06-10,?,PCT,UNDERWOOD,DONALD,W,90172,3652,414,694000,,None,24026F,275,28apr2003 00:00:00,9200,2006-03-27,,,199964685,1999-12-16,,,,PEND,DUAL MODE STABILIZER FOR BACKHOE LOADERS AND BACKHOE ATTACHMENTS,0,0
PCT/US99/13116,1999-06-10,?,PCT,None,None,None,,5331,000,000000,,None,98-406PCT,218,21jun1999 21:09:31,9200,2006-03-27,,,199967344,1999-12-29,,,,PEND,FIRE RETARDANT INTUMESCENT COATING FOR LIGNOCELLULOSIC MATERIALS,0,0
PCT/US99/13117,1999-06-10,?,PCT,BRITTAIN,JAMES,R,65823,3626,024,03050R,,None,187783,275,29dec2001 00:00:00,9200,2006-03-27,,,200076346,2000-12-21,,,,PEND,CLOSURE DEVICE,0,0
PCT/US99/13118,1999-06-09,?,PCT,KIM,HARRY,CHONG HYUN,98872,3629,403,403000,,None,ATM-03-009,256,10nov2001 00:00:00,9200,2006-03-27,,,199964750,1999-12-16,,,,PEND,MONOCOQUE COMPOSITE JOINT,0,0
PCT/US99/13119,1999-06-10,?,PCT,HOLDER,REGINA,NEAL,80212,2651,360,078040,,None,S01.13-0547,256,10nov2001 00:00:00,9200,2006-03-27,,,199966501,1999-12-23,,,,PEND,DISC DRIVE HAVING CHARGE FEEDBACK DRIVEN MICROACTUATOR,0,0
PCT/US99/13120,1999-06-10,?,PCT,None,None,None,,5331,000,000000,,None,2870/123,218,21jun1999 21:08:53,9200,2006-03-27,,,199964314,1999-12-16,,,,PEND,SELF-CLOSING POWDER CAP,0,0
PCT/US99/13121,1999-06-10,?,PCT,OWENS JR,HOWARD,V,75432,1623,536,025340,,None,ISIS-3709,256,10nov2001 00:00:00,9200,2006-03-27,,,199964433,1999-12-16,,,,PEND,METHOD OF PREPARING PHOSPHORAMIDITES,0,0
PCT/US99/13122,1999-06-10,?,PCT,SEAMAN,D MARGARET,M,61971,1625,562,553000,,None,FCCC 96-23-C,256,10nov2001 00:00:00,9200,2006-03-27,,,199964561,1999-12-16,,,,PEND,METHOD FOR ASSESSING A DIABETIC'S RISK OF EXPERIENCING A DIABETES-ASSOCIATED PATHOLOGIC,0,0
PCT/US99/13123,1999-06-10,?,PCT,None,None,None,,5331,000,000000,,None,J-2702,218,28jun1999 21:08:20,9200,2006-03-27,,,200000020,2000-01-06,,,,PEND,SUPPORTING DEVICE FOR DISPENSING VOLATILE MATERIAL,0,0
PCT/US99/13124,1999-06-10,?,PCT,None,None,None,,5331,000,000000,,None,N0352/7001WO,218,06jul1999 21:08:13,9200,2006-03-27,,,199964945,1999-12-16,,,,PEND,COMPUTER SYSTEMS AND COMPUTER-IMPLEMENTED PROCESSES FOR KNOWLEDGE MANAGEMENT USING RELEVANCY,0,0
PCT/US99/13125,1999-06-10,?,PCT,BRIER,JEFFERY,A,65655,2613,345,001000,,None,1247/A23 WO,256,10nov2001 00:00:00,9200,2006-03-27,,,199964990,1999-12-16,,,,PEND,SYSTEM FOR REDUCING ALIASING ON A DISPLAY DEVICE,0,0
PCT/US99/13126,1999-06-10,?,PCT,FABER,ALAN,,61083,2651,360,059000,,None,S01.13-0538,256,10nov2001 00:00:00,9200,2006-03-27,,,199967784,1999-12-29,,,,PEND,EFFICIENT RUN LENGTH LIMITED CODE WITH SHORT INTERLEAVED CONSTRAINT,0,0
PCT/US99/13127,1999-06-10,?,PCT,ROSENBAUM,IRENE,CUDA,86326,3726,029,888440,,None,51005/9016,256,10nov2001 00:00:00,9200,2006-03-27,,,199964202,1999-12-16,,,,PEND,SURFACE TREATMENT OF PREFINISHED VALVE SEAT INSERTS,0,0
PCT/US99/13128,1999-06-10,?,PCT,FELTON,AILEEN,BAKER,95148,3641,149,062000,,None,431 PCT,256,10nov2001 00:00:00,9200,2006-03-27,,,200006523,2000-02-10,,,,PEND,GAS GENERANT COMPOSITIONS CONTAINING GUANADINES,0,0
PCT/US99/13129,1999-06-10,?,PCT,SANDY,ROBERT,JOHN,62586,3626,024,03050R,,None,179488,256,10nov2001 00:00:00,9200,2006-03-27,,,200076347,2000-12-21,,,,PEND,CLOSURE DEVICE,0,0
PCT/US99/13130,1999-06-10,?,PCT,SANDY,ROBERT,JOHN,62586,3626,024,03050R,,None,179487,256,10nov2001 00:00:00,9200,2006-03-27,,,200076348,2000-12-21,,,,PEND,CLOSURE DEVICE,0,0
PCT/US99/13131,1999-06-10,?,PCT,None,None,None,,5331,000,000000,,None,54722PCT8A,218,06jul1999 21:07:01,9200,2006-03-27,,,200053721,2000-09-14,,,,PEND,DISC ASSAY DEVICE WITH INOCULATION PAD AND METHODS OF USE,0,0
PCT/US99/13132,1999-06-10,?,PCT,None,None,None,,5331,000,000000,,None,LAE 026 PB,218,05aug1999 21:06:55,9200,2006-03-27,,,199965099,1999-12-16,,,,PEND,CERAMIC FUEL CELL,0,0
PCT/US99/13133,1999-06-10,?,PCT,DERAKSHANI,PHILIPPE,,65614,3754,222,078000,,None,514601-2039,566,03nov1999 00:00:00,9200,2006-03-27,,,199966480,1999-12-23,,,,PEND,A CONTAINER WITH A STRUCTURAL IMPROVEMENT,0,0
PCT/US99/13134,1999-06-10,?,PCT,GARBE,STEPHEN,P,94679,3727,224,191000,,None,4377-102 WO,256,10nov2001 00:00:00,9200,2006-03-27,,,199963855,1999-12-16,,,,PEND,WEARABLE ARTICLE CARRIER,0,0
PCT/US99/13135,1999-06-10,?,PCT,TURNER,SHARON,L,97680,1647,435,007100,,None,P/2526-21,256,10nov2001 00:00:00,9200,2006-03-27,,,199964621,1999-12-16,,,,PEND,METHODS OF DIAGNOSING RENAL SALT WASTING SYNDROME AND ALZHEIMER'S DISEASE AND METHODS OF TREATING,0,0
PCT/US99/13136,1999-06-10,?,PCT,None,None,None,,5332,000,000000,,None,8194.187.WO,218,25jun1999 21:06:14,9200,2006-03-27,,,200008710,2000-02-17,,,,PEND,SWIVEL ANTENNA WITH PARASITIC TUNING,0,0
PCT/US99/13137,1999-06-10,?,PCT,BAHTA,KIDEST,,67182,2121,700,009000,,None,29131.3516,218,30apr2003 00:00:00,9200,2006-03-27,,,199964940,1999-12-16,,,,PEND,DISTRIBUTED CONTROL SYSTEM FOR A SEMICONDUCTOR WAFER PROCESSING MACHINE,0,0
PCT/US99/13138,1999-06-10,?,PCT,BASINGER,SHERMAN,D,94651,3617,114,06700A,,None,104-108,256,10nov2001 00:00:00,9200,2006-03-27,,,200076838,2000-12-21,,,,PEND,STABILIZED AIR CUSHIONED MARINE VEHICLE,0,0
PCT/US99/13139,1999-06-11,?,PCT,MOSHER,MARY,,63879,1648,424,199100,,None,6923-078-228,256,10nov2001 00:00:00,9200,2006-03-27,,,199964571,1999-12-16,,,,PEND,INTERFERON INDUCING GENETICALLY ENGINEERED ATTENUATED VIRUSES,0,0
PCT/US99/13140,1999-06-10,?,PCT,SALIMI,ALI,REZA,66454,OPLA,536,023100,,None,P50775,256,10nov2001 00:00:00,9200,2006-03-27,,,199964633,1999-12-16,,,,PEND,HERPES SIMPLEX VIRUS ORIGIN BINDING PROTEIN - N -TERMINAL TRUNCATION (OBP-NT),0,0
PCT/US99/13141,1999-06-10,?,PCT,CRANE,LAWRENCE,E,80230,1673,536,022100,,None,ISIS-3684,256,10nov2001 00:00:00,9200,2006-03-27,,,199964434,1999-12-16,,,,PEND,SYNTHETIC METHODS AND INTERMEDIATES FOR TRIESTER OLIGONUCLEOTIDES,0,0
PCT/US99/13142,1999-06-11,?,PCT,MOSHER,MARY,,63879,1648,435,235100,,None,6923-083-228,256,10nov2001 00:00:00,9200,2006-03-27,,,199964570,1999-12-16,,,,PEND,NOVEL METHODS AND INTERFERON DEFICIENT SUBSTRATES FOR THE PROPAGATION OF VIRUSES,0,0
PCT/US99/13143,1999-06-11,?,PCT,None,None,None,,5332,000,000000,,None,200130.456PC,218,30jun1999 21:04:51,9200,2006-03-27,,,199964450,1999-12-16,,,,PEND,CIF130 INHIBITS CELL CYCLE PROGRESSION,0,0
PCT/US99/13144,1999-06-11,?,PCT,MOSHER,MARY,,63879,1648,424,199100,,None,6923-086-228,256,10nov2001 00:00:00,9200,2006-03-27,,,199964068,1999-12-16,,,,PEND,ATTENUATED NEGATIVE STRAND VIRUSES WITH ALTERED INTERFERON ANTAGONIST ACTIVITY FOR USE AS VACCINES,0,0
PCT/US99/13145,1999-06-11,?,PCT,HESS,DOUGLAS,A,64775,3652,198,788000,,None,130815.90026,256,10nov2001 00:00:00,9200,2006-03-27,,,199965134,1999-12-16,,,,PEND,DIRECT DRIVE INSIDE-OUT BRUSHLESS ROLLER MOTOR,0,0
PCT/US99/13146,1999-06-11,?,PCT,DIBRINO,MARIANNE,,69362,1644,424,277100,,None,MSKP042WO,256,10nov2001 00:00:00,9200,2006-03-27,,,199963945,1999-12-16,,,,PEND,VACCINATION STRATEGY TO PREVENT AND TREAT CANCERS,0,0
PCT/US99/13147,1999-06-11,?,PCT,None,None,None,,5332,000,000000,,None,5477-00601,218,30jun1999 21:03:59,9200,2006-03-27,,,199964772,1999-12-16,,,,PEND,MODULAR CHEMICAL DELIVERY BLOCKS,0,0
PCT/US99/13148,1999-06-10,?,PCT,MARTIN,TOOD,M,83361,3761,128,200160,,None,16770-27-2PC,566,30nov1999 00:00:00,9200,2006-03-27,,,199963946,1999-12-16,,,,PEND,IMPROVED METHODS AND APPARATUS FOR STORING CHEMICAL COMPOUNDS IN A PORTABLE INHALER,0,0
PCT/US99/13149,1999-06-10,?,PCT,WHITE,DWAYNE,J,98061,3745,416,21000R,,None,23695.45,275,01jul2003 00:00:00,9200,2006-03-27,,,200046512,2000-08-10,,,,PEND,CEILING FAN ASSEMBLY AND METHOD OF ASSEMBLING SAME,0,0
